Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2023-12-05 21:09:50,2023-12-06 20:45:01,UTC-08:00,96,51,146,33.80,96.67,17.9,3401,185,76,2023-12-05 21:09:50,2023-12-06 06:50:48,85,14.2,466,580,382,49,35,114,546,43,80,56
2023-12-04 21:46:38,2023-12-05 21:09:50,UTC-08:00,71,52,83,34.00,97.40,11.9,2377,165,71,2023-12-04 21:46:38,2023-12-05 06:56:01,84,14.4,454,547,320,72,62,93,541,53,82,47
2023-12-04 00:00:00,2023-12-04 21:46:38,UTC-08:00,,,,,,5.3,1442,144,81,,,,,,,,,,,,,,
2023-12-02 23:05:50,2023-12-04 00:00:00,UTC-08:00,73,53,86,33.73,98.29,4.8,1203,144,78,2023-12-02 23:05:50,2023-12-03 08:00:56,78,14.1,381,535,198,63,120,154,488,0,73,58
2023-12-01 22:23:28,2023-12-02 23:05:50,UTC-08:00,98,55,133,33.50,98.41,5.8,1667,154,74,2023-12-01 22:23:28,2023-12-02 06:39:01,100,14.7,454,495,357,50,47,41,426,0,92,52
2023-11-30 21:17:46,2023-12-01 22:23:28,UTC-08:00,12,65,107,32.60,,10.3,2140,163,67,2023-12-01 10:48:54,2023-12-01 12:03:53,14,13.1,71,74,71,0,0,3,497,0,94,
2023-11-29 23:25:11,2023-11-30 21:17:46,UTC-08:00,12,56,124,32.60,97.00,8.8,2027,164,69,2023-11-30 08:10:00,2023-11-30 10:59:00,19,15.5,102,169,74,17,11,67,551,64,88,
2023-11-28 21:00:33,2023-11-29 23:25:11,UTC-08:00,38,72,60,34.40,98.25,4.7,1735,122,73,2023-11-28 21:00:33,2023-11-29 08:15:19,100,16.5,534,674,425,74,35,140,495,5,79,73
2023-11-27 21:05:28,2023-11-28 21:00:33,UTC-08:00,2,77,41,35.29,97.78,7.0,2041,168,71,2023-11-27 21:05:28,2023-11-28 09:30:55,99,17.0,551,745,418,44,89,194,560,42,74,62
2023-11-26 20:50:18,2023-11-27 21:05:28,UTC-08:00,62,45,82,34.20,97.60,14.4,2891,165,70,2023-11-26 20:50:18,2023-11-27 06:50:30,88,14.7,472,600,195,88,189,128,538,50,81,50
2023-11-25 23:00:57,2023-11-26 20:50:18,UTC-08:00,27,47,50,34.00,96.45,4.2,1755,115,58,2023-11-25 23:00:57,2023-11-26 10:00:39,87,15.1,512,659,356,77,79,147,591,71,78,56
2023-11-24 21:45:42,2023-11-25 23:00:57,UTC-08:00,68,47,92,34.60,97.50,14.7,2965,174,67,2023-11-24 21:45:42,2023-11-25 06:20:12,75,14.7,425,514,338,61,26,89,569,89,85,41
2023-11-23 23:31:19,2023-11-24 21:45:42,UTC-08:00,4,59,81,,,14.9,2829,167,70,2023-11-24 11:45:00,2023-11-24 13:00:00,7,15.5,41,75,41,0,0,34,610,89,63,
2023-11-22 23:31:52,2023-11-23 23:31:19,UTC-08:00,32,52,58,34.10,97.42,6.8,2074,133,65,2023-11-22 23:31:52,2023-11-23 09:31:07,75,14.1,456,599,303,60,93,143,608,64,76,64
2023-11-22 00:12:42,2023-11-22 23:31:52,UTC-08:00,34,52,60,34.09,97.10,18.1,3285,183,74,2023-11-22 00:12:42,2023-11-22 09:30:16,77,13.9,432,557,307,76,49,125,561,79,83,54
2023-11-20 20:30:38,2023-11-22 00:12:42,UTC-08:00,5,54,108,35.60,,18.2,4021,177,76,2023-11-21 09:10:00,2023-11-21 10:30:00,10,14.2,62,80,53,0,9,18,594,79,86,
2023-11-19 23:49:06,2023-11-20 20:30:38,UTC-08:00,48,50,73,34.90,97.37,19.0,3282,189,71,2023-11-19 23:49:06,2023-11-20 09:50:22,91,13.8,493,601,196,105,192,108,542,54,82,67
2023-11-19 00:03:29,2023-11-19 23:49:06,UTC-08:00,61,48,76,33.60,95.89,4.8,1946,148,60,2023-11-19 00:03:29,2023-11-19 09:53:44,85,14.2,468,588,223,119,126,120,553,67,79,45
2023-11-17 23:30:40,2023-11-19 00:03:29,UTC-08:00,27,48,50,32.90,97.83,1.1,1727,103,58,2023-11-17 23:30:40,2023-11-18 09:35:33,80,13.8,413,604,235,94,84,191,518,82,68,29
2023-11-16 20:45:49,2023-11-17 23:30:40,UTC-08:00,25,50,47,34.92,97.29,4.5,1962,124,60,2023-11-16 20:45:49,2023-11-17 06:50:29,79,14.0,473,604,285,83,105,131,602,118,80,64
2023-11-15 20:30:46,2023-11-16 20:45:49,UTC-08:00,61,51,91,34.70,97.67,18.0,3736,175,77,2023-11-15 20:30:46,2023-11-16 04:27:23,60,14.1,360,476,269,39,52,116,598,72,78,76
2023-11-14 21:00:09,2023-11-15 20:30:46,UTC-08:00,28,51,50,33.80,98.29,15.7,2952,170,68,2023-11-14 21:00:09,2023-11-15 06:50:41,81,14.1,487,590,314,41,132,103,600,74,84,69
2023-11-13 20:25:28,2023-11-14 21:00:09,UTC-08:00,64,48,87,34.10,97.33,15.6,3000,174,73,2023-11-13 20:25:28,2023-11-14 04:35:31,74,13.8,430,490,291,100,39,60,579,48,88,67
2023-11-12 20:46:34,2023-11-13 20:25:28,UTC-08:00,54,48,78,33.87,96.74,16.3,3140,174,68,2023-11-12 20:46:34,2023-11-13 06:20:32,86,14.0,483,573,158,112,213,90,559,71,84,52
2023-11-11 23:10:25,2023-11-12 20:46:34,UTC-08:00,17,47,39,34.10,97.25,5.0,1778,129,61,2023-11-11 23:10:25,2023-11-12 09:02:56,75,14.6,435,592,301,62,72,157,578,51,76,40
2023-11-10 21:00:44,2023-11-11 23:10:25,UTC-08:00,43,52,70,33.96,97.93,15.8,3112,177,68,2023-11-10 21:00:44,2023-11-11 06:20:00,85,15.2,436,559,278,67,91,123,516,81,81,62
2023-11-09 21:05:18,2023-11-10 21:00:44,UTC-08:00,34,52,62,34.09,96.78,16.1,3215,169,70,2023-11-09 21:05:18,2023-11-10 06:25:25,74,14.6,468,560,370,47,51,92,631,103,86,81
2023-11-08 20:40:47,2023-11-09 21:05:18,UTC-08:00,71,51,106,34.50,98.23,15.9,3249,168,77,2023-11-08 20:40:47,2023-11-09 04:20:13,64,14.8,373,459,293,50,30,86,581,55,85,75
2023-11-07 21:00:26,2023-11-08 20:40:47,UTC-08:00,48,52,74,34.10,97.41,15.7,2990,170,72,2023-11-07 21:00:26,2023-11-08 06:50:09,80,15.0,458,589,345,62,51,131,569,34,80,64
2023-11-06 20:30:51,2023-11-07 21:00:26,UTC-08:00,52,52,78,33.50,98.25,16.9,3385,171,73,2023-11-06 20:30:51,2023-11-07 06:49:59,90,15.3,467,619,339,95,33,152,520,32,78,43
2023-11-06 00:00:00,2023-11-06 20:30:51,UTC-08:00,,,,,,4.9,1248,136,71,,,,,,,,,,,,,,
2023-11-03 22:32:19,2023-11-04 22:32:19,UTC-07:00,47,53,81,34.37,98.20,4.0,833,107,68,2023-11-03 22:32:19,2023-11-04 08:05:30,91,14.6,484,573,376,65,43,89,534,47,84,66
2023-11-02 22:15:12,2023-11-03 22:32:19,UTC-07:00,69,51,106,34.40,97.32,4.4,1779,128,65,2023-11-02 22:15:12,2023-11-03 07:45:12,86,14.8,466,570,311,86,69,104,539,44,83,55
2023-11-01 20:45:27,2023-11-02 22:15:12,UTC-07:00,90,48,134,,97.79,9.4,2352,161,64,2023-11-01 20:45:27,2023-11-02 05:15:11,82,13.6,406,509,210,85,111,103,495,0,83,59
2023-10-31 21:00:10,2023-11-01 20:45:27,UTC-07:00,48,50,68,34.40,98.25,9.5,2208,157,62,2023-10-31 21:00:10,2023-11-01 08:00:40,100,13.7,493,660,354,97,42,167,446,72,74,45
2023-10-30 20:45:17,2023-10-31 21:00:10,UTC-07:00,89,50,122,34.20,97.06,11.4,2420,159,64,2023-10-30 20:45:17,2023-10-31 04:35:29,73,13.7,397,470,315,32,50,73,541,24,87,66
2023-10-29 21:20:25,2023-10-30 20:45:17,UTC-07:00,97,51,158,34.30,97.57,14.4,2760,168,70,2023-10-29 21:20:25,2023-10-30 06:50:26,93,13.7,477,570,414,19,44,93,514,27,86,64
2023-10-28 21:45:00,2023-10-29 21:20:25,UTC-07:00,65,66,99,35.60,,4.4,1902,121,67,2023-10-28 21:45:00,2023-10-29 09:34:00,93,16.8,523,709,488,14,21,186,565,86,77,53
2023-10-27 21:00:26,2023-10-28 21:45:00,UTC-07:00,57,49,69,34.80,97.67,15.8,2917,184,66,2023-10-27 21:00:26,2023-10-28 06:20:01,72,14.0,432,559,325,62,45,127,604,83,80,54
2023-10-26 21:40:17,2023-10-27 21:00:26,UTC-07:00,36,52,55,34.74,97.30,14.9,2860,173,66,2023-10-26 21:40:17,2023-10-27 09:45:24,80,13.9,533,725,285,98,150,192,664,123,76,47
2023-10-25 20:45:09,2023-10-26 21:40:17,UTC-07:00,75,51,91,34.43,97.21,17.7,3654,180,75,2023-10-25 20:45:09,2023-10-26 04:34:10,60,13.9,366,469,318,33,15,103,612,73,80,71
2023-10-24 20:30:10,2023-10-25 20:45:09,UTC-07:00,44,50,58,34.79,97.15,17.5,3374,184,70,2023-10-24 20:30:10,2023-10-25 06:50:44,76,13.8,474,620,235,105,134,146,621,69,79,58
2023-10-23 21:19:34,2023-10-24 20:30:10,UTC-07:00,71,48,79,,97.57,19.3,3820,183,77,2023-10-23 21:19:34,2023-10-24 04:14:55,73,13.7,372,415,187,78,107,43,511,20,90,61
